Names	total	elements
floresta macmorpho	681	estaçao
		divulgue
		divinopolis
		noticia
		fonte
		brumado
		corpo
		sexta
		noite
		ouça
		dados
		agua
		kkkkkkkk
		inovaçao
		distrito
		informaçoes
		what
		feto
		detecçao
		seoestadoislamicoatacar
		colabore
		endereço
		h1n1
		artrite
		https
		circulaçao
		atualizaçao
		atentados
		tecnologia
		viçosa
		profissionais
		pais
		autoctone
		dessas
		capitais
		recreio
		suspeitas
		sintoma
		jacobina
		dias
		saudemg
		sportv
		genero
		jacuipe
		combateaedesdiad
		entrevista
		orientaçao
		praça
		coordenaçao
		sesapi
		ediçao
		maranhao
		saude
		http
		portal
		março
		reduçao
		bolhas
		cama
		liraa
		convoque
		catarina
		regiao
		transmissao
		minas
		moradores
		chuva
		taxa
		enfermeiros
		delfino
		milhares
		meses
		familia
		mobilizam
		publicaçao
		teresina
		seminario
		diferença
		banco
		belford
		perigo
		diad
		praia
		miosite
		pesquisadores
		cajazeiras
		cidades
		aplicaçao
		proteçao
		debate
		dilma
		noroeste
		anvisa
		distribuiçao
		ministro
		treinamento
		momento
		horas
		video
		criadouro
		emergencia
		preocupaçao
		macapa
		cabelo
		plano
		sesma
		regioes
		golpe
		materia
		avanço
		laboratorio
		mosquito
		detalhes
		chikungunya
		pesquisa
		perigos
		smartphone
		nordeste
		pessoa
		pragas
		operacaoretwitar
		jpalencarbeta
		tarefa
		notificaçoes
		caxias
		apoio
		liberte
		bastos
		vigilancia
		parabens
		problemas
		bloco
		assunto
		autoridades
		cuidado
		i5gornascimento
		criança
		causa
		jogo
		gripe
		vezes
		maioria
		vergonha
		ameaça
		zica
		timbeta
		estado
		mossoro
		manejo
		alastrar
		combate
		canal
		julho
		açao
		pernas
		raynniere
		joamarda
		ufrr
		municipio
		2014
		doenças
		saneamento
		limpeza
		dengue
		operaçao
		infecçao
		playlist
		governador
		temas
		gafanhotos
		incidencia
		chioro
		exercito
		equipes
		virose
		doendo
		pros
		pernilongo
		serviços
		desemprego
		cuiaba
		programa
		povo
		maes
		aids
		transmissor
		eventos
		quintal
		foto
		picada
		sinais
		teste
		mato
		carro
		hidrataçao
		tvonline
		resultados
		sintomas
		nebulizaçao
		pessoas
		riscos
		epidemia
		agente
		boletim
		filho
		campanhas
		online
		manha
		aegypti
		album
		ruas
		semanas
		chikv
		portaria
		homem
		diferenças
		casos
		proteina
		abril
		demi
		amigos
		queda
		indice
		medo
		febre
		infraero
		criaçao
		valparaiso
		antonio
		recurso
		epidemiologica
		chegada
		instituto
		patos
		noticias
		testes
		opçao
		chuvas
		unidade
		calor
		mesegue
		missaobeta
		fotos
		conscientizaçao
		reporter
		vilhena
		amostras
		ferreira
		obitos
		mortes
		deste
		gasolina
		expansao
		operecaobetalab
		culpa
		kkkkk
		registro
		mutirao
		compartilhe
		informe
		minuto
		tocantins
		celulas
		morte
		sucesso
		proteja
		predial
		caixa
		triagem
		guara
		hospitais
		doaçao
		unidades
		amor
		nesse
		infectou
		especialista
		forarenan
		periodo
		exames
		correio
		orientaçoes
		crianças
		caso
		sigodevolta
		timlabs
		cuidados
		escola
		notifica
		mobilizaçao
		evento
		eduardo
		zikavirus
		domingo
		pernambuco
		registros
		tempo
		radio
		praga
		zika
		dever
		atriz
		oiapoque
		sertao
		enfrentamento
		sindrome
		fevereiro
		bloqueio
		falta
		viçosense
		milhao
		aprenda
		somostodosdilma
		repelente
		municipios
		esporte
		betalab
		espaço
		tratamento
		automedicaçao
		mundo
		alfenas
		coraçao
		defesa
		ataque
		participaçao
		ciencia
		sobrecarregar
		tarde
		nome
		aumento
		festa
		sarampo
		grupo
		resultado
		epidemiologico
		virus
		encontro
		caminhada
		investigaçao
		canais
		lohan
		vetor
		lado
		rede
		inicio
		guiana
		hu3b3t
		remedio
		piada
		homens
		aedes
		parte
		visita
		sousa
		pacientes
		maldita
		coisas
		bahiafarma
		representante
		bairro
		paulo
		maceio
		time
		centro
		medidas
		goias
