Names	total	elements
Chinkungunya Dengue Microcefalia Zika	266	pais
		dias
		portal
		meses
		video
		mosquito
		pesquisa
		vejo
		pessoa
		cuidado
		açao
		epidemia
		fotos
		sigodevolta
		domingo
		siga
		tava
		betalab
		tratamento
		coraçao
		grupo
		relaçao
		lado
		rede
		coisas
		milhoes
		jornal
		foco
		menina
		populaçao
		sesap
		duvidas
		sala
		hora
		tipo
		vitoria
		dicas
		olho
		blog
		capital
		situaçao
		liga
		post
		batalha
		educaçao
		cruz
		governo
		mosquitos
		2015
		sabado
		medico
		gente
		zikazero
		crise
		dados
		h1n1
		achando
		dessas
		suspeitas
		cidades
		dilma
		plano
		chikungunya
		jpalencarbeta
		vigilancia
		problemas
		assunto
		combate
		desemprego
		programa
		aids
		teste
		mato
		boletim
		online
		homem
		morrendo
		medo
		missaobeta
		conscientizaçao
		culpa
		kkkkk
		amor
		crianças
		pernambuco
		radio
		zika
		ciencia
		aumento
		nome
		hu3b3t
		centro
		acesse
		olimpiadas
		ministerio
		numeros
		mano
		midia
		sigame
		graças
		problema
		cura
		parada
		estudo
		professor
		mesiga
		fico
		atençao
		puta
		anos
		globo
		santo
		vida
		exame
		tema
		controle
		microcefalia
		campanha
		janeiro
		cabeça
		verdade
		balanço
		galera
		risco
		lugar
		site
		nessa
		neste
		secretaria
		vacina
		noticia
		informaçoes
		https
		investiga
		entrevista
		familia
		emergencia
		materia
		notificaçoes
		parabens
		criança
		jogo
		zica
		estado
		doenças
		saneamento
		playlist
		gravida
		sintomas
		semanas
		noticias
		mesegue
		mortes
		mutirao
		morte
		nova
		hospitais
		exames
		zikavirus
		mundo
		resultado
		remedio
		paulo
		equipe
		surto
		numero
		tribuna
		suspeitos
		curso
		dessa
		campo
		b0derulez
		betacaralhudosan
		trabalho
		alunos
		merda
		ajuda
		google
		prevençao
		parceria
		irmao
		diagnostico
		palestra
		informaçao
		conta
		coisa
		news
		objetivo
		assista
		jucamario27
		corrupçao
		operacaobetalab
		triste
		forma
		notificados
		alerta
		hospital
		agua
		kkkkkkkk
		profissionais
		acordo
		saude
		regiao
		minas
		amigo
		debate
		ministro
		momento
		apoio
		impeachment
		causa
		vezes
		timbeta
		disso
		dengue
		infecçao
		ajude
		povo
		foto
		pessoas
		filho
		aegypti
		casos
		deste
		porra
		nesse
		caso
		cuidados
		tempo
		enfrentamento
		falta
		municipios
		virus
		encontro
		inicio
		aedes
		parte
		visita
		meio
		doença
		reuniao
		manchas
		pena
		medicos
		mulher
		cidade
		epoca
		força
		prefeitura
		açoes
		2016
		amiga
		kkkk
		cara
		piaui
		pauta
		casa
		suspeita
		terra
		especialistas
		luta
		adicionei
		chega2015
		foda
		filha
		semana
Chinkungunya Dengue Microcefalia	18	mossoro
		abril
		informe
		prova
		incidencia
		resultados
		registro
		festa
		maceio
		ribeirao
		canal
		queda
		obitos
		serviço
		queengabyboterkooper
		joamarda
		parecendo
		vitimas
Dengue Microcefalia Zika	54	ponto
		favor
		kkkkkkk
		final
		desses
		projeto
		inflaçao
		menino
		aula
		filhos
		gestantes
		vacinas
		senhora
		bebe
		gravidez
		presidente
		linda
		sociedade
		vontade
		alta
		bunda
		dinheiro
		tipos
		descaso
		cientistas
		atendimento
		exemplo
		busca
		twitter
		olhos
		sistema
		historia
		cade
		retweeted
		terça
		dona
		caos
		camara
		ideia
		estadao
		kkkkkk
		comissao
		fome
		nota
		poder
		cancer
		obra
		mulheres
		mina
		mentira
		caralho
		politica
		operaçaoretweet
		paises
Chinkungunya Dengue Zika	131	sexta
		noite
		cama
		moradores
		perigo
		horas
		criadouro
		volta
		gripe
		pernas
		limpeza
		equipes
		pernilongo
		manha
		diferenças
		daqui
		calor
		operecaobetalab
		escola
		sanitaria
		jeito
		fumace
		malaria
		motivo
		criadouros
		bastasse
		muriçoca
		nois
		feira
		monte
		picado
		articulaçoes
		infestaçao
		jardim
		interior
		vila
		corpo
		sintoma
		transmissao
		chuva
		preocupaçao
		ameaça
		2014
		exercito
		transmissor
		praga
		repelente
		tarde
		vetor
		maldita
		bairro
		pergunta
		dores
		prefeito
		demora
		limpa
		lixo
		baile
		frente
		bairros
		facebook
		agentes
		pensou
		aedesaegypti
		zona
		sangue
		praia
		laboratorio
		vergonha
		virose
		pros
		picada
		agente
		repelentes
		amigos
		indice
		febre
		epidemiologica
		proteja
		caixa
		periodo
		piada
		cunha
		surtos
		veneno
		chicungunha
		certeza
		infectados
		reforço
		epidemias
		carlos
		guerra
		sorte
		endemias
		inseticida
		minutos
		comite
		focos
		plantas
		lepo
		possibilidade
		musica
		vitima
		carnaval
		chiku
		secretario
		moda
		peste
		michel
		hemorragica
		liraa
		diferença
		pragas
		municipio
		doendo
		quintal
		carro
		ruas
		mobilizaçao
		eduardo
		ataque
		sentindo
		pacientes
		medidas
		dica
		irma
		amarela
		proliferaçao
		peguei
		comunidade
		matando
Chinkungunya Microcefalia Zika	48	maranhao
		infectado
		detecta
		maioria
		temas
		tvonline
		instituto
		investigaçao
		pesquisas
		sesab
		leite
		tambau247
		recife
		capacitaçao
		acordabraziu
		unidos
		seminario
		proteçao
		treinamento
		kits
		autoridades
		sindrome
		confirmaçao
		acre
		combateaedes
		personalizada1
		identifica
		estados
		pesquisadores
		operacaoretwitar
		reporter
		diagnosticar
		epidemiologico
		desta
		opiniao
		bebes
		tecnologia
		convoca
		avanço
		detalhes
		nordeste
		julho
		evento
		sertao
		importancia
		fortaleza
		agencia
		recursos
Dengue Microcefalia	19	contabiliza
		organizaçao
		denuncia
		pneumonia
		drama
		demonio
		redaçao
		visao
		alarmante
		lindo
		fila
		professores
		forum
		serie
		direito
		chance
		soma
		internada
		audiencia
Chinkungunya Dengue	37	seoestadoislamicoatacar
		reduçao
		mobilizam
		cabelo
		golpe
		liberte
		album
		caminhada
		goias
		zyka
		biologia
		divinopolis
		autoctone
		bastos
		campanhas
		dobra
		contraido
		planos
		gata
		graça
