Names	total	elements
Chinkungunya Dengue Microcefalia Zika	254	noticia
		informaçoes
		https
		pais
		dias
		fundo
		entrevista
		portal
		meses
		familia
		parana
		video
		emergencia
		materia
		mosquito
		pesquisa
		pessoa
		notificaçoes
		parabens
		cuidado
		criança
		jogo
		zica
		estado
		açao
		doenças
		saneamento
		playlist
		sintomas
		epidemia
		semanas
		deus
		noticias
		mesegue
		fotos
		mortes
		mutirao
		morte
		hospitais
		exames
		sigodevolta
		zikavirus
		domingo
		betalab
		tratamento
		mundo
		coraçao
		grupo
		rede
		remedio
		luis
		coisas
		paulo
		goias
		milhoes
		equipe
		jornal
		brasilia
		surto
		numero
		foco
		menina
		tribuna
		populaçao
		sesap
		duvidas
		sala
		curso
		dessa
		hora
		campo
		tipo
		b0derulez
		betacaralhudosan
		vitoria
		trabalho
		dicas
		olho
		merda
		blog
		ajuda
		google
		situaçao
		prevençao
		parceria
		irmao
		diagnostico
		palestra
		batalha
		informaçao
		conta
		coisa
		educaçao
		news
		cruz
		governo
		objetivo
		mosquitos
		2015
		assista
		jucamario27
		corrupçao
		operacaobetalab
		sabado
		medico
		alerta
		gente
		hospital
		zikazero
		crise
		dados
		agua
		kkkkkkkk
		maria
		h1n1
		profissionais
		dessas
		suspeitas
		porto
		saude
		regiao
		minas
		alta
		cidades
		debate
		dilma
		ministro
		momento
		plano
		chikungunya
		jpalencarbeta
		apoio
		vigilancia
		problemas
		assunto
		causa
		vezes
		timbeta
		combate
		dengue
		infecçao
		desemprego
		programa
		povo
		aids
		foto
		teste
		mato
		pessoas
		nesta
		boletim
		filho
		online
		aegypti
		homem
		casos
		medo
		missaobeta
		conscientizaçao
		deste
		kkkkk
		culpa
		nesse
		amor
		crianças
		caso
		cuidados
		pernambuco
		tempo
		radio
		zika
		enfrentamento
		falta
		municipios
		ciencia
		nome
		aumento
		virus
		encontro
		inicio
		paraiba
		hu3b3t
		aedes
		parte
		centro
		sergipe
		acesse
		olimpiadas
		ministerio
		numeros
		internet
		socorro
		doença
		reuniao
		mano
		manchas
		midia
		pena
		sigame
		problema
		medicos
		mulher
		cidade
		cura
		epoca
		força
		estudo
		professor
		prefeitura
		mesiga
		açoes
		lula
		atençao
		anos
		folha
		globo
		2016
		santo
		vida
		exame
		tema
		amiga
		controle
		microcefalia
		kkkk
		cara
		historia
		campanha
		piaui
		janeiro
		casa
		cabeça
		verdade
		joao
		balanço
		suspeita
		terra
		ceara
		galera
		especialistas
		luta
		risco
		lugar
		site
		adicionei
		chega2015
		foda
		filha
		semana
		nessa
		neste
		secretaria
		bahia
		vacina
Chinkungunya Dengue Microcefalia	20	mossoro
		canal
		abril
		queda
		obitos
		informe
		prova
		alunos
		serviço
		queengabyboterkooper
		joamarda
		incidencia
		resultados
		registro
		festa
		visita
		maceio
		vitimas
		ribeirao
		fernando
Dengue Microcefalia Zika	49	retweeted
		favor
		terça
		kkkkkkk
		desses
		projeto
		dona
		caos
		camara
		inflaçao
		ideia
		total
		estadao
		kkkkkk
		comissao
		fome
		menino
		aula
		filhos
		gestantes
		vacinas
		senhora
		bebe
		gravidez
		presidente
		sociedade
		vontade
		poder
		bunda
		dinheiro
		tipos
		cancer
		obra
		descaso
		cientistas
		atendimento
		exemplo
		mulheres
		mina
		twitter
		olhos
		sistema
		parada
		puta
		mentira
		caralho
		politica
		paises
		operaçaoretweet
Chinkungunya Dengue Zika	133	sexta
		noite
		cama
		moradores
		perigo
		praia
		horas
		criadouro
		gripe
		vergonha
		pernas
		quarto
		limpeza
		equipes
		virose
		pros
		pernilongo
		picada
		agente
		manha
		diferenças
		indice
		amigos
		febre
		epidemiologica
		calor
		operecaobetalab
		proteja
		caixa
		periodo
		escola
		resultado
		lado
		piada
		cunha
		tomara
		surtos
		veneno
		hein
		chicungunha
		jeito
		fumace
		certeza
		malaria
		reforço
		elimine
		criadouros
		verao
		epidemias
		muriçoca
		carlos
		guerra
		sorte
		nois
		capital
		endemias
		inseticida
		minutos
		focos
		comite
		feira
		monte
		plantas
		lepo
		possibilidade
		imoveis
		musica
		picado
		articulaçoes
		vitima
		carnaval
		chiku
		secretario
		moda
		peste
		infestaçao
		jardim
		michel
		forma
		aguento
		interior
		vila
		corpo
		sintoma
		liraa
		transmissao
		chuva
		diferença
		preocupaçao
		pragas
		ameaça
		municipio
		2014
		exercito
		doendo
		transmissor
		quintal
		carro
		ruas
		mobilizaçao
		eduardo
		praga
		repelente
		ataque
		tarde
		vetor
		pacientes
		maldita
		bairro
		medidas
		pergunta
		dores
		meio
		prefeito
		dica
		lixo
		baile
		campos
		irma
		bairros
		facebook
		agentes
		mata
		proliferaçao
		chico
		morador
		duvida
		comunidade
		aedesaegypti
		decreta
		ebola
		zona
		sangue
Chinkungunya Microcefalia Zika	47	maranhao
		pesquisadores
		operacaoretwitar
		maioria
		temas
		tvonline
		instituto
		reporter
		epidemiologico
		investigaçao
		vista
		pesquisas
		sesab
		leite
		tambau247
		recife
		opiniao
		capacitaçao
		amazonas
		acordabraziu
		bebes
		para
		tecnologia
		seminario
		proteçao
		treinamento
		salvador
		avanço
		detalhes
		nordeste
		autoridades
		julho
		manaus
		evento
		sertao
		sindrome
		confirmaçao
		importancia
		acre
		brasileiros
		fortaleza
		combateaedes
		personalizada1
		pauta
		agencia
		estados
		recursos
Dengue Microcefalia	18	amazonia
		contabiliza
		organizaçao
		fila
		pneumonia
		drama
		professores
		demonio
		forum
		oliveira
		redaçao
		visao
		serie
		direito
		chance
		bruno
		soma
		audiencia
Chinkungunya Dengue	35	seoestadoislamicoatacar
		viçosa
		março
		reduçao
		mobilizam
		aplicaçao
		cabelo
		golpe
		liberte
		album
		caminhada
		zyka
		ciclo
		aracaju
		biologia
		cajado
		divinopolis
		autoctone
		bastos
		gafanhotos
		campanhas
		curitiba
		time
		retorno
		dobra
		horizonte
		uberlandia
		aviso
		contraido
		planos
		gata
		desculpa
		influenza
		vizinhos
		conquista
Dengue Zika	170	chinkungunya
		ponto
		remedios
		egito
		lista
		pneus
		alergia
		primo
		terrorismo
		posto
		olimpiada
		whats
		casas
		volta
		chikungunha
		hahaha
		comigo
		destaque
		larvas
		misericordia
		kkkkkkkkkk
		bicho
		final
		carai
		juiz
		chikugunya
		chikunguya
		hahahaha
		parei
		campinas
		cachorro
		ovos
		propaganda
		pfvr
		vamo
		sanofi
		comida
		tamo
		coceira
		pernilongos
		banho
		sinusite
		alguem
		pica
		funk
		picar
		locais
		policia
		dive
		doido
		mamae
		pneu
		tempos
		bosta
		sensaçao
		costas
		fode
		whatsapp
		area
		preguiça
		pele
		serio
		nisso
		tendas
		suina
		haha
		garganta
		senhor
		picou
		maximo
		sono
		pras
		armas
		roupas
		morro
		afins
		miga
		começo
		farmacias
		aecio
		aniversario
		chikungunia
		politicos
		chicungunya
		segunda
		acordo
		favela
		melhoras
		organismo
		barra
		osso
		amigo
		resto
		raiva
		base
		jesus
		loko
		metralhadora
		sera
		boatos
		anitta
		eita
		chicugunha
		colica
		bora
		kkkkkkkkk
		boca
		acordei
		mosquitinho
		violencia
		questao
		inferno
		escolas
		peguem
		fudeu
		imprensa
		plaquetas
		amem
		prima
		arma
		mancha
		pessoal
		serra
		gripada
		marcelo
		meninas
		picando
		ouvido
		braço
		mariana
		bacteria
		desgraça
		crlh
		paracetamol
		medica
		piscina
		diarreia
		filme
		perna
		fudido
		entao
		teto
		pintinhas
		carros
		inverno
		enjoo
		bolinhas
		economia
		trem
		janela
		bagulho
		caxumba
		xicungunha
		nariz
		panico
		soca
		odeio
		maos
		soluçao
		negocio
		soro
		fodida
		fase
		oque
		vacinaçao
		quarta
		brasileiro
		pegado
		passo
		coçando
Chinkungunya Microcefalia	33	what
		feto
		atualizaçao
		ediçao
		i5gornascimento
		portaria
		minuto
		registros
		homens
		lider
		sequelas
		colombia
		ocorrencias
		rondonia
		prorroga
		campina
		pedro
		regioes
		amapa
		roraima
		maes
		suspeito
		patos
		unidade
		tocantins
		forarenan
		notifica
		espaço
		alagoas
		belem
		infectada
		fundaçao
		oglobonoticias
Microcefalia Zika	47	legado
		respostas
		desafios
		herança
		clique
		neurologicas
		agosto
		sifilis
		desenvolvimento
		diagnosticos
		reporter24horas
		geraçao
		artigo
		causas
		cooperaçao
		relaçao
		larvicida
		informativo
		rtuolnoticias
		casal
		ultimo
		feedbrasil
		diretor
		europa
		consequencias
		reportagem
		bolsa
		medida
		cientista
		estudos
		prioridade
		oculos
		jogos
		idade
		teamfollowback
		america
		estrategia
		fato
		ligaçao
		cabo
		onda
		monitoramento
		paralisia
		imagem
		pesquisador
		saga
		vidas
Chinkungunya Zika	65	inovaçao
		detecçao
		colabore
		saudemg
		anvisa
		laboratorio
		perigos
		operaçao
		sinais
		testes
		doaçao
		viral
		orientaçoes
		dever
		sarampo
		contingencia
		capacita
		fiocruz
		contagio
		medicina
		sesau
		contrai
		musculos
		estrategias
		quadro
		monitora
		infectologista
		prazo
		fonte
		orientaçao
		coordenaçao
		catarina
		tarefa
		santana
		governador
		cuiaba
		nebulizaçao
		riscos
		ambiente
		criaçao
		chegada
		chuvas
		compartilhe
		sucesso
		unidades
		especialista
		correio
		fevereiro
		milhao
		aprenda
		intensifica
		lançamento
		infecçoes
		levantamento
		esforços
		aplicativo
		responsabilidade
		paciente
		causador
		combata
		aegypt
		prefeitos
		viroses
		acompanhe
		combatadengue
Dengue	309	atentado
		camila
		enxada
		bomba
		firma
		rezando
		sonhei
		ameça
		bola
		pedras
		calça
		saudades
		zyca
		acordou
		cirrose
		sextadetremurasdv
		taubate
		cajuru
		segurança
		faculdade
		paranoica
		cerveja
		crush
		disponibiliza
		moça
		bauru
		carol
		fofa
		ituiutaba
		tremembe
		derivados
		quantidade
		infernos
		fodeu
		bolsonaro
		televansbh
		desanimo
		caramba
		nuvepa
		terrenos
		facul
		recomendaçao
		kkkkkkkkkkkk
		jaja
		luiz
		beijo
		marcio
		monique
		canarana
		melhorei
		tals
		valença
		coitado
		coitada
		laden
		memes
		areas
		curado
		crotalaria
		tela
		donos
		curou
		tadinha
		padre
		peso
		colegio
		uberaba
		trouxa
		areia
		fisica
		pegasse
		mozao
		nesses
		carreta
		juro
		chefe
		mortos
		deputados
		poxa
		melody
		saco
		tadinho
		imunidade
		mente
		falhas
		portugues
		mordeu
		vereador
		contraindicados
		vaza
		askbelieber
		bala
		musicas
		odio
		gabeira
		implementa
		espetaculo
		terroristas
		sorocaba
		guarda
		mensagem
		desenho
		droga
		delicia
		villa
		cascavel
		falsete
		neles
		endemicos
		idosos
		disease
		sarou
		deputado
		trabalhos
		mane
		estudantes
		kkkkkkkkkkk
		quinta
		medicamento
		dificil
		rollemberg
		isis
		jato
		ninguem
		larva
		assalto
		dobro
		desejo
		atestado
		onibus
		paranagua
		varias
		credo
		dengosa
		nota
		matematica
		carmo
		enxaqueca
		dormi
		mosquita
		vistoria
		vizinho
		walter
		cansaço
		chao
		sepa
		barulho
		noçao
		evans
		eslamico
		academia
		dengo
		varginha
		araras
		lagoa
		inimigo
		media
		hemorragica
		torcedores
		mutiroes
		viado
		moço
		psdb
		planta
		debatera
		bombas
		metro
		dorzinha
		macedo
		ceis
		castilho
		pico
		migo
		calma
		naquele
		ines
		mamis
		tatui
		vizinha
		traficantes
		varredura
		survive
		exigencia
		igreja
		ultima
		cite7coisasquevocetemmedo
		cristo
		youknowyoulovethem
		metade
		votaçao
		autuaçao
		enchente
		filas
		bhvans
		aulas
		cuzao
		ivete
		apresentaçao
		parodia
		rsrs
		copo
		emagreci
		denovo
		massa
		dipirona
		friburgo
		caraca
		desisto
		pmdb
		safadao
		naquela
		funed
		aguentando
		órgao
		silva
		beleza
		provas
		mimimi
		limite
		sangalo
		despacho
		pegarem
		ressaca
		postar
		algo
		patio
		adoçao
		snap
		planeta
		professora
		videos
		rapaz
		lucas
		hahahahaha
		migos
		antidengue
		energia
		joinville
		deitada
		campea
		sdds
		estilo
		zumbi
		pressao
		maravilha
		futebol
		suco
		liguei
		capeta
		sarandi
		sonho
		manifestaçao
		criatorio
		entendendo
		araxa
		dedo
		garrafa
		furacao
		filipinas
		veia
		repouso
		virei
		padrasto
		imposto
		namorado
		querido
		123saizika
		frente
		horror
		amigas
		loca
		fraqueza
		cheiro
		motivos
		galo
		coma
		gugu
		possivel
		coleta
		role
		banheiro
