Names	total	elements
floresta macmorpho	671	noticia
		prioriza
		cariri
		legado
		dados
		agua
		familias
		kkkkkkkk
		informaçoes
		what
		feto
		investigaçoes
		sociedade
		estupro
		h1n1
		ferasdoenem
		sudeste
		https
		atualizaçao
		microfibra
		tecnologia
		vaquinha
		profissionais
		pais
		diagnosticados
		outubro
		suspeitas
		dessas
		dias
		maternidade
		impacto
		vontade
		duda
		entrevista
		favor
		retweeted
		terça
		departamento
		ediçao
		maranhao
		saude
		surgimento
		confi
		papel
		portal
		costa
		necessidade
		radionacional
		abraço
		regiao
		minas
		infetada
		petrolina
		respostas
		internautas
		priorizara
		desafios
		poder
		iniciativa
		meses
		familia
		divulgam
		alta
		seminario
		drama
		donativos
		steffany
		ebcradio
		pesquisadores
		garanhuns
		cidades
		annelycia
		proteçao
		debate
		dilma
		norma
		ministro
		treinamento
		momento
		lesao
		video
		danos
		emergencia
		protagonistas
		plano
		kkkkkkk
		herança
		regioes
		materia
		local
		notificadas
		licença
		livro
		ebcnarede
		avanço
		fetos
		apostas
		obito
		mosquito
		detalhes
		chikungunya
		pesquisa
		clique
		dedicaçao
		lacen
		agosto
		sifilis
		historias
		nordeste
		pessoa
		operacaoretwitar
		bunda
		jpalencarbeta
		anjos
		notificaçoes
		detetados
		apoio
		dinheiro
		consequencias
		vigilancia
		reportagens
		parabens
		problemas
		assunto
		cuidado
		autoridades
		i5gornascimento
		causa
		criança
		jogo
		desenvolvimento
		diagnosticos
		vezes
		maioria
		tecidos
		feedly
		zica
		fresquinha
		estado
		timbeta
		professores
		mossoro
		york
		combate
		falarn
		canal
		julho
		açao
		joamarda
		saúdeministerio
		ratos
		doenças
		saneamento
		opas
		dengue
		altino
		contabiliza
		preconceito
		reportagem
		infancia
		infecçao
		playlist
		mudanças
		temas
		aperto
		alexia
		fisioterapia
		incidencia
		convulsoes
		monsanto
		organizaçao
		desemprego
		jubi
		tipos
		reporter24horas
		cartilha
		programa
		povo
		aids
		maes
		foto
		cancer
		lesoes
		teste
		mato
		bolsa
		tvonline
		sintomas
		resultados
		suspeito
		junho
		pessoas
		obra
		portadores
		exposiçao
		direitos
		epidemia
		origens
		mcmv
		boletim
		filho
		online
		nucleo
		aegypti
		sarah
		demonio
		semanas
		origem
		cerebro
		portaria
		homem
		gemeos
		ensaio
		casos
		falacia
		rotina
		abril
		queda
		medo
		francisco
		desses
		cearenses
		ampliaçao
		peniana
		enem
		instituto
		noticias
		patos
		discussao
		unidade
		gemeo
		mesegue
		missaobeta
		fotos
		medida
		conscientizaçao
		malformaçoes
		reporter
		descaso
		assistencia
		obitos
		mortes
		deste
		cientistas
		atendimento
		cientista
		parceiros
		cultura
		projeto
		geraçao
		kkkkk
		culpa
		registro
		mutirao
		comove
		exemplo
		estudos
		informe
		minuto
		revista
		tocantins
		morte
		enfermagem
		artigo
		mulheres
		acesso
		aborto
		infetado
		hospitais
		sobral
		tribunadonorte
		nesse
		amor
		golpista
		forarenan
		inclusao
		exames
		pasta
		fotografo
		documentario
		confirman
		crianças
		palacio
		forum
		caso
		sigodevolta
		cuidados
		notifica
		evento
		mina
		zikavirus
		causas
		domingo
		pernambuco
		registros
		tempo
		acolhimento
		radio
		dona
		salud
		zika
		fraldas
		enfrentamento
		sertao
		caos
		tristeza
		sindrome
		falta
		estudante
		camara
		inflaçao
		antibiotico
		prioridade
		municipios
		conexaorepórter
		betalab
		espaço
		tratamento
		programas
		mundo
		paraguai
		coraçao
		oculos
		justiça
		vitamina
		ciencia
		macroamor
		neiba
		nome
		aumento
		solidariedade
		festa
		grupo
		virus
		epidemiologico
		prestaçao
		republica
		encontro
		descoberta
		investigaçao
		ideia
		adultos
		cooperaçao
		relaçao
		chorei
		rtrevistaistoe
		rede
		inicio
		protocolo
		hu3b3t
		remedio
		estimulaçao
		homens
		jogos
		salario
		jaru
		aedes
		valentina
		parte
		visita
		jornaldobrasil
		coisas
		travessia
		upae
		paulo
		severa
		maceio
		centro
		jccidades
		redaçao
		confirmaçao
		lider
		prova
		fonoaudiologia
		sequelas
		acesse
		ideias
		pesquisas
		sorteio
		importancia
		olimpiadas
		milhoes
		visao
		acompanhamento
		ministerio
		acre
		auxilio
		numeros
		primer
		relatorio
		idade
		zenaide
		7830
		ocorrencias
		serie
		artigos
		doença
		reuniao
		twitter
		teamfollowback
		mano
		tecido
		equipe
		ricardo
