Names	total	elements
floresta macmorpho	991	saopaulo
		chinkungunya
		noticia
		sexta
		ponto
		legado
		noite
		classe
		inovaçao
		incompetencia
		informaçoes
		detecçao
		colabore
		investigara
		remedios
		https
		pais
		dias
		lista
		saudemg
		fundo
		empolada
		analise
		entrevista
		favor
		retweeted
		terça
		pneus
		alergia
		maranhao
		portal
		sesacre
		primo
		reproduçao
		chukungunya
		cama
		terrorismo
		sptv
		moradores
		publico
		desafios
		respostas
		meses
		familia
		posto
		perigo
		praia
		pesquisadores
		anvisa
		olimpiada
		whats
		insetos
		horas
		video
		criadouro
		casas
		emergencia
		volta
		kkkkkkk
		impedira
		herança
		materia
		brazil
		estomago
		laboratorio
		mosquito
		chikungunha
		pesquisa
		clique
		jaques
		perigos
		peito
		agosto
		sifilis
		pessoa
		operacaoretwitar
		hahaha
		conferencia
		notificaçoes
		ignorancia
		roupa
		encomenda
		parabens
		desastre
		cuidado
		criança
		jogo
		gripe
		desenvolvimento
		diagnosticos
		febres
		maioria
		vergonha
		agonia
		zica
		comigo
		estado
		inseto
		açao
		pernas
		quarto
		destaque
		doenças
		saneamento
		limpeza
		larvas
		propagaçao
		operaçao
		playlist
		temas
		misericordia
		kkkkkkkkkk
		equipes
		virose
		pros
		barre
		pernilongo
		bicho
		reporter24horas
		coça
		final
		carai
		picada
		rio2016
		juiz
		sinais
		armazenada
		chikugunya
		saida
		tvonline
		sintomas
		soltaram
		chikunguya
		bbcpresidentes
		hahahaha
		epidemia
		projetos
		agente
		pacote
		rosto
		manha
		egyptis
		semanas
		lota
		diferenças
		modelo
		indice
		amigos
		febre
		desses
		epidemiologica
		instituto
		testes
		noticias
		calor
		mesegue
		saizika
		fotos
		reporter
		cenario
		mortes
		parei
		projeto
		bobeira
		operecaobetalab
		geraçao
		mutirao
		trocara
		efeito
		morte
		obama
		artigo
		proteja
		campinas
		espaçopublico
		caixa
		hospitais
		medalha
		doaçao
		transmisor
		prolifere
		periodo
		exames
		orientaçoes
		transgenico
		cachorro
		ovos
		propaganda
		sigodevolta
		tuberculose
		escola
		zikavirus
		causas
		domingo
		dona
		dever
		caos
		pfvr
		sabadodafaxina
		camara
		inflaçao
		globonews
		vamo
		betalab
		chincungunha
		tratamento
		sanofi
		ditadura
		mundo
		pagina
		aeds
		coraçao
		formas
		frankenstein
		sorotipos
		peixe
		aviaria
		sarampo
		grupo
		resultado
		epidemiologico
		repartiçoes
		flavivirus
		comida
		tamo
		investigaçao
		ideia
		cooperaçao
		rubeola
		coceira
		relaçao
		lado
		mito
		rede
		freire
		pernilongos
		piada
		remedio
		banho
		vacuna
		coisas
		laboratorios
		paulo
		sinusite
		alguem
		cunha
		contingencia
		surtos
		veneno
		capacita
		pesquisas
		pica
		2006
		milhoes
		fiocruz
		chicungunha
		pressa
		contagio
		especie
		jeito
		fumace
		medicina
		funk
		acendem
		tiro
		equipe
		lote
		rousseff
		certeza
		jornal
		presidentes
		surto
		estadao
		diabo
		malaria
		reforço
		zikado
		larvicida
		picar
		sesab
		numero
		foco
		menina
		rapidez
		tribuna
		presidenta
		motivo
		populaçao
		kkkkkk
		pasteur
		sesap
		duvidas
		sala
		criadouros
		curso
		males
		periscope
		cases
		dessa
		semestre
		intensificaçao
		leite
		campo
		hora
		piracicaba
		tipo
		orçamento
		policia
		terreno
		verao
		mentiras
		dive
		b0derulez
		epidemias
		comissao
		nomes
		dente
		doido
		betacaralhudosan
		mamae
		pescoço
		muriçoca
		vitoria
		pneu
		tempos
		carlos
		trabalho
		sesau
		governantes
		dicas
		olho
		bosta
		merda
		guerra
		fome
		sorte
		memo
		blog
		nois
		fogo
		tambau247
		verba
		sensaçao
		desafio
		postos
		capital
		ajuda
		google
		roberto
		menino
		pablotimbeta
		clearpassage
		costas
		aula
		situaçao
		filhos
		endemias
		contrai
		fode
		inseticida
		testara
		prevençao
		whatsapp
		minutos
		parceria
		area
		arraial
		universo
		contas
		musculos
		irmao
		focos
		comite
		preguiça
		diagnostico
		pele
		03183
		serio
		nisso
		palestra
		tendas
		suina
		feira
		informativo
		monte
		plantas
		produtos
		batalha
		lepo
		informaçao
		estrategias
		haha
		ruzika
		conta
		coisa
		possibilidade
		gestantes
		senhor
		garganta
		imoveis
		picou
		demorara
		recife
		educaçao
		decreto
		chykungunya
		musica
		news
		sono
		discurso
		pras
		cruz
		opiniao
		picado
		grana
		guerrero
		articulaçoes
		armas
		vitima
		lugares
		roupas
		rjtv
		governo
		carnaval
		objetivo
		chiku
		quadro
		chickungunya
		capacitaçao
		morro
		monitora
		mosquitos
		rtuolnoticias
		bebedouro
		secretario
		casal
		infectologista
		braba
		prazo
		vacinas
		2015
		senhora
		moda
		assista
		peste
		catapora
		infestaçao
		jardim
		bebe
		jucamario27
		corrupçao
		operacaobetalab
		preço
		afins
		multirio
		miga
		michel
		boulos
		gravidez
		começo
		forma
		sabado
		acordabraziu
		chik
		farmacias
		medico
		ultimo
		alerta
		aecio
		aniversario
		gente
		lideres
		hospital
		zikazero
		interior
		vila
		crise
		timerman
		presidente
		bebes
		feedbrasil
		diretor
		papo
		venda
		glaxo
		perguntas
		herpes
		fonte
		corpo
		chikungunia
		dados
		agua
		bbcnos
		kkkkkkkk
		floresta
		tontura
		sociedade
		h1n1
		conspiraçao
		dedetizadoraemcampinagrande
		joelho
		denuncias
		tecnologia
		seculo
		chicungunya
		profissionais
		usuarios
		dessas
		suspeitas
		sintoma
		vontade
		acordo
		favela
		farmaceutico
		orientaçao
		melhoras
		coordenaçao
		saude
		organismo
		itapiuna
		miseria
		liraa
		barra
		catarina
		osso
		ferias
		regiao
		transmissao
		minas
		chuva
		poder
		conjuntivite
		amigo
		jubimedicina
		alternativa
		alta
		diferença
		seminario
		resto
		cidades
		debate
		proteçao
		dilma
		guillain
		ministro
		uniao
		momento
		raiva
		treinamento
		base
		boato
		preocupaçao
		oswaldo
		exterminar
		loko
		plano
		gestante
		autoridade
		avanço
		blogplanalto
		chikungunya
		detalhes
		nordeste
		bunda
		pragas
		novembro
		jpalencarbeta
		tarefa
		metralhadora
		apoio
		dinheiro
		consequencias
		vigilancia
		sera
		tabela
		problemas
		boatos
		assunto
		autoridades
		anitta
		causa
		enchentes
